證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","9625538","1143739838","118.00","119.50","117.90","119.50","2.9500","10809"
"0051","元大中型100","23695","1248066","52.50","52.80","52.50","52.70","0.7000","127"
"0052","富邦科技","386618","38782188","99.30","100.85","99.30","100.85","2.5500","553"
"0053","元大電子","10072","580068","57.45","57.70","57.45","57.70","1.2000","972"
"0055","元大MSCI金融","731618","16665972","22.62","22.89","22.62","22.88","0.3300","625"
"0056","元大高股息","22462110","645570365","28.54","28.87","28.54","28.87","0.4400","8745"
"0057","富邦摩台","3745","313918","83.60","84.60","83.60","84.60","2.2000","738"
"0061","元大寶滬深","147163","2880482","19.63","19.69","19.55","19.69","0.1400","31"
"006203","元大MSCI台灣","7156","407189","56.90","57.30","56.90","57.30","1.6000","843"
"006204","永豐臺灣加權","33054","2549602","76.65","77.35","76.65","77.35","1.4500","920"
"006205","富邦上証","318978","10399015","32.55","32.67","32.53","32.56","0.2000","218"
"006206","元大上證50","8945","279223","31.30","31.30","31.21","31.25","0.2300","882"
"006207","FH滬深","36157","935098","25.82","25.90","25.82","25.85","0.2200","960"
"006208","富邦台50","2427189","166105648","67.90","68.75","67.85","68.75","1.6500","3246"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","7522852","789733371","103.60","106.05","103.60","106.00","5.2500","3450"
"00632R","元大台灣50反1","299750980","1733653774","5.83","5.83","5.75","5.75","-0.1500","15860"
"00633L","富邦上証正2","4692999","198760481","42.37","42.66","41.96","42.04","0.1400","1045"
"00634R","富邦上証反1","893000","3916190","4.39","4.42","4.37","4.42","0.0000","59"
"00635U","期元大S&P黃金","345987","8152694","23.59","23.62","23.52","23.58","0.2600","209"
"00636","國泰中國A50","424434","9467980","22.39","22.39","22.20","22.24","0.0600","878"
"00636K","國泰中國A50+U","200","1486","7.43","7.43","7.43","7.43","0.0900","2"
"00637L","元大滬深300正2","40470903","678338651","16.75","16.89","16.60","16.63","0.0500","6378"
"00638R","元大滬深300反1","609175","5674496","9.35","9.36","9.28","9.35","-0.0600","49"
"00639","富邦深100","216527","3021240","13.81","14.00","13.81","13.90","0.1000","284"
"00640L","富邦日本正2","432500","12186395","27.95","28.24","27.95","28.21","0.4600","63"
"00641R","富邦日本反1","636000","6311330","9.96","9.98","9.91","9.91","-0.1100","87"
"00642U","期元大S&P石油","3918346","71489992","18.22","18.32","18.16","18.31","-0.4400","1423"
"00643","群益深証中小","460934","7679682","16.59","16.70","16.59","16.60","0.0800","997"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","140093","3593901","25.63","25.75","25.62","25.74","0.1500","36"
"00646","元大S&P500","1921500","73927895","38.33","38.51","38.33","38.47","0.1400","794"
"00647L","元大S&P500正2","195136","11735613","59.95","60.20","59.95","60.05","0.1000","58"
"00648R","元大S&P500反1","1173000","8342640","7.12","7.12","7.10","7.12","-0.0100","147"
"00650L","FH香港正2","2323120","35048529","15.10","15.29","14.95","15.00","0.0700","457"
"00651R","FH香港反1","113000","975480","8.60","8.70","8.56","8.70","0.0000","22"
"00652","富邦印度","257548","7449192","29.03","29.03","28.86","28.97","-0.1600","982"
"00653L","富邦印度正2","129195","5619875","43.90","44.01","43.30","43.49","0.0600","55"
"00654R","富邦印度反1","176100","1442072","8.20","8.21","8.18","8.18","-0.0600","61"
"00655L","國泰中國A50正2","1961320","59795536","30.47","30.74","30.20","30.27","0.1300","545"
"00656R","國泰中國A50反1","63000","524900","8.32","8.38","8.32","8.38","-0.0300","16"
"00657","國泰日經225","2942","95619","32.89","32.91","32.89","32.91","0.2000","932"
"00657K","國泰日經225+U","200","2194","10.97","10.97","10.97","10.97","0.0800","2"
"00660","元大歐洲50","16157","441795","27.34","27.42","27.34","27.42","0.1800","6"
"00661","元大日經225","18177","639932","35.06","35.22","35.06","35.22","0.0000","9"
"00662","富邦NASDAQ","918061","47355650","51.50","51.70","51.45","51.55","0.5000","574"
"00663L","國泰臺灣加權正2","69010","6534650","93.65","95.65","93.65","95.65","4.7000","37"
"00664R","國泰臺灣加權反1","18808343","123151735","6.60","6.61","6.52","6.52","-0.1800","1592"
"00665L","富邦恒生國企正2","5574000","54751200","9.82","9.99","9.71","9.74","0.0300","673"
"00666R","富邦恒生國企反1","154000","2320740","14.99","15.15","14.95","15.11","-0.0700","10"
"00668","國泰美國道瓊","16065","573096","35.61","35.69","35.61","35.69","-0.0300","26"
"00668K","國泰美國道瓊+U","300","3567","11.87","11.90","11.87","11.90","0.0200","3"
"00669R","國泰美國道瓊反1","2651100","21652306","8.17","8.18","8.16","8.16","-0.0200","168"
"00670L","富邦NASDAQ正2","2577897","199884656","77.30","77.70","77.30","77.55","1.3000","690"
"00671R","富邦NASDAQ反1","11536200","64889668","5.63","5.64","5.61","5.63","-0.0400","903"
"00673R","期元大S&P原油反1","51965892","448884114","8.65","8.68","8.60","8.61","0.1600","3587"
"00674R","期元大S&P黃金反1","1282260","16788473","13.09","13.11","13.06","13.10","-0.1400","281"
"00675L","富邦臺灣加權正2","1574926","64681364","40.64","41.53","40.62","41.50","1.9600","804"
"00676R","富邦臺灣加權反1","16832985","60438224","3.62","3.62","3.57","3.58","-0.0900","1027"
"00678","群益NBI生技","82972","2074280","24.91","25.07","24.91","25.01","0.5200","1005"
"00680L","元大美債20正2","639400","10208260","16.10","16.10","15.91","15.94","-0.0500","146"
"00681R","元大美債20反1","237000","3812030","16.07","16.09","16.06","16.09","-0.0300","25"
"00682U","期元大美元指數","22377","466539","20.83","20.88","20.83","20.86","-0.0800","18"
"00683L","期元大美元指正2","228000","5115780","22.48","22.48","22.41","22.48","-0.1900","102"
"00684R","期元大美元指反1","12000","192320","16.02","16.05","16.02","16.02","0.0400","7"
"00685L","群益臺灣加權正2","27000","985550","36.18","36.89","36.18","36.88","1.6300","16"
"00686R","群益臺灣加權反1","2224000","8661490","3.93","3.93","3.88","3.89","-0.0900","97"
"00688L","國泰20年美債正2","429000","6818460","15.94","15.94","15.86","15.87","-0.0500","61"
"00689R","國泰20年美債反1","12000","201120","16.76","16.76","16.76","16.76","0.0000","1"
"00690","兆豐藍籌30","110372","3203018","28.95","29.05","28.95","29.03","0.6900","686"
"00692","富邦公司治理","1373997","40329142","29.00","29.50","29.00","29.49","0.6500","1093"
"00693U","期街口S&P黃豆","262982","6703367","25.36","25.63","25.33","25.60","1.0700","101"
"00700","富邦恒生國企","160434","2104140","13.08","13.20","13.07","13.10","0.0600","27"
"00701","國泰股利精選30","1268143","31110600","24.48","24.59","24.45","24.58","0.3400","677"
"00702","國泰標普低波高息","220298","4742544","21.54","21.54","21.53","21.53","-0.1200","1013"
"00703","台新MSCI中國","16984","274331","16.24","16.24","16.10","16.10","0.1100","14"
"00706L","期元大S&P日圓正2","1382300","14669537","10.59","10.65","10.57","10.58","0.0700","252"
"00707R","期元大S&P日圓反1","1000","23600","23.60","23.60","23.60","23.60","-0.0800","1"
"00708L","期元大S&P黃金正2","949430","23710169","25.05","25.05","24.89","24.93","0.4300","300"
"00709","富邦歐洲","65237","1414762","21.64","21.70","21.64","21.70","0.1000","43"
"00710B","FH彭博非投等債","438358","7859695","17.90","17.95","17.90","17.91","0.0300","97"
"00711B","FH彭博新興債","126020","2127126","16.86","16.89","16.86","16.89","0.0700","14"
"00712","FH富時不動產","914089","11156867","12.20","12.23","12.17","12.21","-0.0100","698"
"00713","元大台灣高息低波","505842","20593699","40.63","40.80","40.56","40.80","0.5400","571"
"00714","群益道瓊美國地產","244783","5148188","21.05","21.05","21.00","21.02","-0.0100","201"
"00715L","期街口布蘭特正2","37050635","654719197","17.66","17.86","17.54","17.76","-1.0200","6952"
"00717","富邦美國特別股","529337","8459424","16.00","16.00","15.97","15.97","-0.0300","238"
"00728","第一金工業30","276160","6315737","22.59","22.92","22.59","22.92","0.5100","285"
"00730","富邦臺灣優質高息","94500","1645709","17.38","17.47","17.36","17.47","0.2600","140"
"00731","FH富時高息低波","1073830","62156155","57.70","58.00","57.70","57.95","0.6500","158"
"00732","國泰RMB短期報酬","110000","4537300","41.23","41.25","41.23","41.25","0.0400","5"
"00733","富邦臺灣中小","168521","5653182","33.50","33.69","33.44","33.67","0.6600","214"
"00735","國泰臺韓科技","103594","2706962","25.94","26.14","25.94","26.04","0.4900","8"
"00736","國泰新興市場","102147","1975133","19.34","19.38","19.34","19.38","0.2400","853"
"00737","國泰AI+Robo","180596","5039602","27.90","27.95","27.88","27.91","0.1600","941"
"00738U","期元大道瓊白銀","1164704","23817225","20.44","20.52","20.39","20.49","0.2300","265"
"00739","元大MSCI A股","12344","300144","24.34","24.55","24.31","24.55","0.2300","976"
"00743","國泰中國A150","976","24420","","","","","0.0000","954"
"00752","中信中國50","1117462","20524253","18.41","18.51","18.27","18.30","0.0200","473"
"00753L","中信中國50正2","4165687","53486795","12.89","13.01","12.70","12.72","0.0600","1100"
"00757","統一FANG+","1037831","42977740","41.22","41.51","41.22","41.40","0.5500","821"
"00762","元大全球AI","192122","6814948","35.45","35.51","35.44","35.49","0.4200","185"
"00763U","期街口道瓊銅","134043","3023809","22.55","22.73","22.54","22.68","0.4500","21"
"00770","國泰北美科技","101512","3316147","32.68","32.68","32.63","32.63","0.3300","909"
"00771","元大US高息特別股","148529","2666869","17.97","17.98","17.90","17.96","0.0400","1156"
"00774B","新光中國政金綠債","2000","83700","41.85","41.85","41.85","41.85","0.0000","2"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","51015","1851669","36.13","36.30","36.13","36.30","-0.2200","4"
"00783","富邦中証500","125044","2660999","21.31","21.31","21.25","21.25","0.2400","955"
"008201","BP上證50","3000","309715","103.50","103.50","103.05","103.10","0.8500","8"
"00830","國泰費城半導體","6239823","167550295","26.82","26.89","26.82","26.86","0.4000","2883"
"00850","元大臺灣ESG永續","807037","25231875","31.12","31.45","31.11","31.44","0.7100","509"
"00851","台新全球AI","13118","362189","27.62","27.70","27.62","27.68","0.4900","979"
"00852L","國泰美國道瓊正2","181200","3484980","19.20","19.26","19.20","19.25","0.0000","54"
"00861","元大全球未來通訊","306620","8734000","28.41","28.53","28.41","28.51","0.2400","237"
"00865B","國泰US短期公債","101761","3972057","39.04","39.09","39.04","39.09","0.0200","751"
"00875","國泰網路資安","195875","5364124","27.37","27.42","27.34","27.40","-0.0200","131"
"00876","元大全球5G","800083","21499948","26.70","26.96","26.70","26.92","0.4900","371"
"00878","國泰永續高股息","34827756","589987306","16.86","17.00","16.86","16.97","0.2000","12836"
"00881","國泰台灣5G+","13331143","197889838","14.72","14.92","14.71","14.90","0.3500","4394"
"00882","中信中國高股息","11200148","129847755","11.55","11.63","11.53","11.59","0.0700","3467"
"00885","富邦越南","7737431","112107390","14.45","14.52","14.45","14.49","0.0400","2462"
"00891","中信關鍵半導體","14341952","171119211","11.78","12.02","11.78","12.02","0.4100","3703"
"00892","富邦台灣半導體","5800423","62284709","10.66","10.81","10.66","10.81","0.2600","1234"
"00893","國泰智能電動車","23299427","337999938","14.47","14.54","14.46","14.49","0.2200","6055"
"00894","中信小資高價30","1991537","23585735","11.68","11.90","11.68","11.88","0.3700","538"
"00895","富邦未來車","4794967","73231609","15.20","15.30","15.20","15.28","0.2000","1699"
"00896","中信綠能及電動車","1675634","22453738","13.28","13.44","13.28","13.44","0.2700","592"
"00897","富邦基因免疫生技","3415921","36510220","10.60","10.72","10.60","10.70","0.2400","653"
"00898","國泰基因免疫革命","2265755","18747662","8.20","8.30","8.20","8.27","0.1600","706"
"00899","FT潔淨能源","682343","16665552","24.58","24.58","24.33","24.36","0.4700","235"
"00900","富邦特選高股息30","26889664","328107693","12.13","12.26","12.13","12.21","0.1100","6760"
"00901","永豐智能車供應鏈","732045","9157378","12.40","12.57","12.40","12.56","0.3000","317"
"00902","中信電池及儲能","3625401","52085236","14.30","14.43","14.30","14.31","0.0700","928"
"00903","富邦元宇宙","3392198","37359535","10.98","11.04","10.98","10.99","0.1200","1060"
"00904","新光臺灣半導體30","971366","10962002","11.19","11.36","11.18","11.35","0.3500","351"
"00905","FT臺灣Smart","1744116","15436980","8.81","8.90","8.81","8.88","0.1800","379"
"00906","大華元宇宙科技50","393070","3961602","10.00","10.16","9.98","10.15","0.1900","125"
"00907","永豐優息存股","872678","12713979","14.47","14.63","14.47","14.62","0.2400","336"
"00908","富邦入息REITs+","833101","12552288","15.11","15.11","15.05","15.08","-0.0200","139"
"00909","國泰數位支付服務","822305","15127449","18.41","18.42","18.38","18.39","0.3100","316"
"00910","第一金太空衛星","92111","1465057","15.96","15.96","15.87","15.89","-0.1000","54"
"00911","兆豐洲際半導體","693100","11709472","16.90","16.91","16.86","16.90","0.2400","246"
"00912","中信臺灣智慧50","2447543","36468559","14.73","14.97","14.73","14.97","0.4300","473"
